股票代码,盈亏,开仓日期,开仓时间,平仓日期,平仓时间,开仓价格,平仓价格,价差,数量,资金占用,收益（含手续费）,手续费,10500000,
SZSE.002027,平多收益,2021-7-30,0:00:00,2021-8-9,0:00:00,7.5,7.9,0.4,400,300000,16000,417.12,12032584,
SZSE.000858,平多止损,2021-7-5,0:00:00,2021-7-19,0:00:00,281.1,280.89,-0.21,10,281100,-210,370.77,12032374,
SZSE.000858,平多止损,2021-7-26,0:00:00,2021-8-9,0:00:00,249.54,230.01,-19.53,12,299448,-23436,364.34,12008938,
SZSE.000725,平多止损,2021-7-26,0:00:00,2021-8-9,0:00:00,5.94,5.87,-0.07,505,299970,-3535,391.29,12005403,
SZSE.000568,平多止损,2021-6-15,0:00:00,2021-6-29,0:00:00,249.86,228.15,-21.71,12,299832,-26052,361.39,11979351,
SZSE.000568,平多收益,2021-7-9,0:00:00,2021-7-15,0:00:00,216.51,228.11,11.6,13,281463,15080,391.44,11994431,
SZSE.000568,平多止损,2021-7-26,0:00:00,2021-8-9,0:00:00,199.68,179.7,-19.98,15,299520,-29970,355.81,11964461,
SZSE.000002,平多止损,2021-6-15,0:00:00,2021-6-29,0:00:00,24.76,23.8,-0.96,121,299596,-11616,380.13,11952845,
SZSE.000002,平多收益,2021-7-26,0:00:00,2021-8-9,0:00:00,21.36,22.28,0.92,140,299040,12880,411.73,11965725,
SZSE.000001,平多止损,2021-6-18,0:00:00,2021-7-2,0:00:00,22.65,21.81,-0.84,132,298980,-11088,380.02,11954637,
SZSE.000001,平多止损,2021-7-9,0:00:00,2021-7-23,0:00:00,21.27,20.1,-1.17,141,299907,-16497,374.1,11938140,
SZSE.000001,平多收益,2021-7-26,0:00:00,2021-8-9,0:00:00,18.8,19.06,0.26,159,298920,4134,400.03,11942274,
SSE.603288,平多收益,2021-7-5,0:00:00,2021-7-15,0:00:00,121.15,128.49,7.34,24,290760,17616,407.06,11959890,
SSE.603288,平多收益,2021-7-26,0:00:00,2021-8-9,0:00:00,116.04,121.06,5.02,25,290100,12550,399.5,11972440,
SSE.601985,平多收益,2021-7-16,0:00:00,2021-7-30,0:00:00,4.75,4.8,0.05,631,299725,3155,399.8,11975595,
SSE.601939,平多止损,2021-7-15,0:00:00,2021-7-29,0:00:00,6.06,5.82,-0.24,495,299970,-11880,380.28,11963715,
SSE.601919,平多止损,2021-7-14,0:00:00,2021-7-28,0:00:00,23.16,18.18,-4.98,129,298764,-64242,309.57,11899473,
SSE.601919,平多收益,2021-7-29,0:00:00,2021-8-3,0:00:00,18.17,20.2,2.03,165,299805,33495,439.96,11932968,
SSE.601888,平多收益,2021-6-15,0:00:00,2021-6-29,0:00:00,297.68,301.75,4.07,10,297680,4070,398.31,11937038,
SSE.601888,平多止损,2021-7-2,0:00:00,2021-7-16,0:00:00,281.09,275,-6.09,10,281090,-6090,363,11930948,
SSE.601888,平多止损,2021-7-26,0:00:00,2021-8-9,0:00:00,262.98,260.4,-2.58,11,289278,-2838,378.1,11928110,
SSE.601398,平多止损,2021-7-12,0:00:00,2021-7-26,0:00:00,4.77,4.67,-0.1,628,299556,-6280,387.12,11921830,
SSE.601318,平多止损,2021-6-15,0:00:00,2021-6-29,0:00:00,67.07,64.38,-2.69,44,295108,-11836,373.92,11909994,
SSE.601318,平多止损,2021-7-8,0:00:00,2021-7-22,0:00:00,60.78,58.54,-2.24,49,297822,-10976,378.64,11899018,
SSE.601318,平多收益,2021-7-26,0:00:00,2021-8-9,0:00:00,54.5,55.12,0.62,55,299750,3410,400.17,11902428,
SSE.601166,平多止损,2021-6-15,0:00:00,2021-6-29,0:00:00,20.92,19.68,-1.24,143,299156,-17732,371.48,11884696,
SSE.601166,平多止损,2021-7-21,0:00:00,2021-8-4,0:00:00,19.73,17.4,-2.33,152,299896,-35416,349.11,11849280,
SSE.601166,平多收益,2021-8-5,0:00:00,2021-8-10,0:00:00,17.41,18.66,1.25,172,299452,21500,423.66,11870780,
SSE.601088,平多止损,2021-7-12,0:00:00,2021-7-26,0:00:00,17.62,17.27,-0.35,170,299540,-5950,387.54,11864830,
SSE.600900,平多收益,2021-7-27,0:00:00,2021-8-9,0:00:00,18.33,19.35,1.02,163,298779,16626,416.33,11881456,
SSE.600887,平多收益,2021-7-8,0:00:00,2021-7-22,0:00:00,34.21,35.06,0.85,87,297627,7395,402.63,11888851,
SSE.600887,平多收益,2021-7-27,0:00:00,2021-7-30,0:00:00,31.46,33.39,1.93,95,298870,18335,418.71,11907186,
SSE.600585,平多止损,2021-6-17,0:00:00,2021-7-1,0:00:00,43.89,41.64,-2.25,68,298452,-15300,373.76,11891886,
SSE.600585,平多止损,2021-7-2,0:00:00,2021-7-16,0:00:00,40.33,38.65,-1.68,74,298442,-12432,377.53,11879454,
SSE.600585,平多收益,2021-7-27,0:00:00,2021-8-2,0:00:00,35.52,38.86,3.34,84,298368,28056,430.88,11907510,
SSE.600519,平多止损,2021-6-21,0:00:00,2021-7-5,0:00:00,2081.64,1994,-87.64,1,208164,-8764,263.21,11898746,
SSE.600519,平多止损,2021-7-26,0:00:00,2021-8-9,0:00:00,1804.11,1693.8,-110.31,1,180411,-11031,223.58,11887715,
SSE.600436,平多止损,2021-7-23,0:00:00,2021-8-6,0:00:00,416.6,376.01,-40.59,7,291620,-28413,347.43,11859302,
SSE.600276,平多止损,2021-6-15,0:00:00,2021-6-29,0:00:00,71.88,68.2,-3.68,41,294708,-15088,369.1,11844214,
SSE.600276,平多止损,2021-7-5,0:00:00,2021-7-19,0:00:00,62.95,60.96,-1.99,47,295865,-9353,378.2,11834861,
